id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
POT1A	5	3.2757e-06	1.3882e-05	0.262376	1	4	-2.5787	0.9375	0.93774	0.987989	17505	0	-2.5787
UTP15	4	2.7551e-05	0.00011027	0.60495	2	3	-2.0565	0.24579	0.25221	0.964979	4382	1	-2.0565
GM614	4	2.7551e-05	0.00011027	0.60495	3	3	-1.4434	0.51232	0.51198	0.966282	8903	0	-1.4434
SNRNP200	5	3.4536e-05	0.00016004	0.60495	4	5	-2.3159	0.99994	0.99994	0.999941	18900	0	-2.3159
CCNG1	5	3.4536e-05	0.00016004	0.60495	5	4	-1.5748	0.99516	0.99512	0.998386	18787	0	-1.5748
TBKBP1	5	4.0642e-05	0.00019409	0.611386	6	1	0.0075964	0.9375	0.93774	0.987989	17693	0	0.0075964
IGBP1	5	6.789e-05	0.00030986	0.732054	7	3	-1.3121	0.9375	0.93774	0.987989	17455	0	-1.3121
PHF12	3	9.7539e-05	0.00029415	0.732054	8	1	0.0075964	0.81053	0.81045	0.97199	14000	0	0.0075964
UGT1A9	3	0.00013908	0.00041883	0.73965	9	3	-1.9943	0.99986	0.99986	0.999912	18899	0	-1.9943
ESCO2	5	0.00016256	0.00074362	0.73965	10	2	-0.99622	0.053365	0.093958	0.883486	1587	2	-0.99622
RNF8	4	0.00022758	0.00085101	0.73965	11	3	-0.72583	0.73504	0.73465	0.97199	13638	0	-0.72583
ABCB7	4	0.00028446	0.0010459	0.73965	12	2	-1.4929	0.3629	0.36249	0.966282	6296	0	-1.4929
UPK1B	4	0.00028446	0.0010459	0.73965	13	2	-0.78362	0.16196	0.18087	0.925858	3116	1	-0.78362
SCLY	4	0.00028446	0.0010459	0.73965	14	2	-0.78362	0.51232	0.51198	0.966282	8530	0	-0.78362
F3	3	0.00031155	0.00092488	0.73965	15	2	-1.3654	0.95918	0.95945	0.987989	18065	0	-1.3654
RGS18	4	0.00035761	0.0013026	0.73965	16	2	-0.28425	0.51232	0.51198	0.966282	9973	0	-0.28425
VMN2R114	4	0.00035761	0.0013026	0.73965	17	1	-0.20119	0.10129	0.13261	0.897576	2192	1	-0.20119
OLFR1110	4	0.00035761	0.0013026	0.73965	18	3	-0.94408	0.1417	0.16449	0.925858	3048	1	-0.94408
EBNA1BP2	2	0.00036551	0.00071376	0.73965	19	2	-2.3159	0.99963	0.99963	0.999734	18898	0	-2.3159
MZT1	2	0.00036551	0.00071376	0.73965	20	2	-1.8941	0.99963	0.99963	0.999734	18897	0	-1.8941
PHF23	2	0.00039013	0.000763	0.73965	21	2	-2.152	0.99732	0.99727	0.998386	18875	0	-2.152
SMARCA4	4	0.0004352	0.001586	0.73965	22	4	-1.2852	0.99956	0.99957	0.999734	18890	0	-1.2852
ERF	4	0.0004352	0.001586	0.73965	23	4	-1.4924	0.99956	0.99957	0.999734	18895	0	-1.4924
SFI1	4	0.0004352	0.001586	0.73965	24	4	-1.5799	0.99956	0.99957	0.999734	18896	0	-1.5799
RPL13A	4	0.0004352	0.001586	0.73965	25	4	-1.5799	0.99956	0.99957	0.999734	18894	0	-1.5799
TWF2	4	0.0004352	0.001586	0.73965	26	4	-1.078	0.99956	0.99957	0.999734	18891	0	-1.078
FBXO34	4	0.0004352	0.001586	0.73965	27	4	-1.4916	0.99956	0.99957	0.999734	18888	0	-1.4916
